"b_nr","generalite","autor","titel","publikation","band","jahr","seiten","ort","ae","zu_ae","cil","sonstigeCorpora","bearbeiter","datum"
"B000012","N","Alföldy, G.","Römische Statuen in Venetia et Histria. Epigraphische Quellen.","","","1984","160 S.","Heidelberg","1990, 0396.","1888, 0024; 1888, 0132; 1890, 0151; 1893, 0118; 1934, 0231; 1934, 0233; 1934, 0237; 1934, 0241; 1934, 0242; 1946, 0137; 1951, 0279; 1957, 0135; 1965, 0148; 1966, 0124; 1966, 0125; 1966, 0126; 1966, 0158; 1973, 0263; 1976, 0250; 1976, 0252a; 1976, 0252b; 1976, 0253; 1977, 0316; 1978, 0353; 1979, 0294; 1979, 0295; 1980, 0502; 1981, 0399; 1982, 0382; 1982, 0397; 1985, 0454; 1987, 0434; 1987, 0459; 1990, 0405; 1990, 0410; 1992, 0690.","","I.Aquileia 0443; I.Aquileia 0501; I.Aquileia 0522.","Gräf","2011-11-16"
"B000013","N","Alföldy, G.","Su alcune epigrafi imperiali di Aquileia.","In: I musei di Aquileia, AAAd","24","1984","241-256","Udine","1984, 0432; 1984, 0433; 1984, 0434.","","05, 08268; 05, 08971; 05, 08269.","","Gräf","2004-12-06"
"B000014","N","Alföldy, G.","Epigraphica Hispanica V. Inschriften aus Jérica und Umgebung.","ZPE","54","1984","221-245","","1984, 0599; 1984, 0600; 1984, 0601; 1984, 0602; 1984, 0603; 1984, 0604.","","02 (2. Aufl.) 14, 00267; 02 (2. Aufl.) 14, 00272; 02 (2. Aufl.) 14, 00234; 02 (2. Aufl.) 14, 00236; 02, 04010; 02, 06065.","","Hildebrandt","2004-09-20"
"B000015","J","Alföldy, G.","Zur Geschichte von Asturia et Callaecia. Bemerkungen zu Alain Tranoy, La Galice romaine.","Germania","61","1983","511-528","","1983, 0543.","1981, 0523.","","","Hildebrandt","2004-10-19"
"B000016","N","Alföldy, G.","Ein Tempel des Herrscherkultes in Comum.","Athenaeum","61","1983","362-373","","1983, 0443.","","","","Feraudi","2018-07-12"
"B000017","N","Kropp, A.","Defixiones. Ein aktuelles Corpus lateinischer Fluchtafeln.","","","2008","397 S.","Speyer","","1927, 0068; 1927, 0069; 1960, 0180; 1961, 0181; 1978, 0545; 1978, 0546; 1978, 0579; 1996, 1172. 1998, 0999; 2004, 1092; 2011, 0831; 2011, 0832.","13, 07550; 13, 07551; 13, 07552; 13, 07553; 13, 07554.","","Osnabrügge","2018-06-21"
"B000018","N","Alföldy, G.","Ein aedituus magister in Comum.","ZPE","47","1982","193-200","","1982, 0416.","","","","Admin","2002-04-26"
"B000019","N","Alföldy, G.","Ein senatorisches Ehepaar in Pollentia.","ZPE","47","1982","201-205","","1982, 0376.","","05, 07617.","","Feraudi","2018-12-27"
"B000020","J","Alföldy, G.","Die städtischen Eliten im römischen Hispanien.","Gerión","2","1984","193-238","","1984, 0537.","","","","Feraudi","2009-08-04"
"B000021","N","Alföldy, G.","Epigraphica Hispanica IV. Voconia Pax, ein Störenfried in der römischen Epigraphik Hispaniens.","ZPE","53","1983","103-111","","1983, 0606.","","02, 03605; 02, 05972.","","Feraudi","2018-07-12"
"B000022","N","Alföldy, G.","Die Inschriften aus den Principia des Alenkastells Aalen (Vorbericht).","In: Studien zu den Militärgrenzen Roms 3. 13. Internationaler Limeskongreß, Aalen 1983. Vorträge.","","1986","69-72","Stuttgart","1986, 0528.","","","","Gräf","2016-02-10"
"B000023","N","Alföldy, G.","Nochmals Octavius Faustinianus.","ZPE","51","1983","230-236","","1983, 0766.","","","","Gräf","2015-04-17"
"B000024","N","Alföldy, G.","Zur Inschrift des collegium centonarium von Solva.","Historia","15","1966","433-444","","1966, 0277.","","","ILLPRON 1450; ILLPRON 1451; ILLPRON 1452; ILLPRON 1453; ILLPRON 1454; ILLPRON 1455; ILLPRON 1456; ILLPRON 1457; ILLPRON 1458.","Gräf","2013-12-19"
"B000025","N","Almagro Basch, M.","Guía de Mérida.","","","1977","109","Valencia","1983, 0486.","","","","Admin","2002-04-26"
"B000026","N","Almagro Basch, M.","Aportación al estudio del culto de Hercules en España: cuatro inscripciones de Segobriga.","In: Homenaje a Sáenz de Buruaga.","","1982","339-350","Madrid","1982, 0597; 1982, 0598; 1982, 0599.","","","","Grimmig","2004-09-06"
"B000027","J","Almagro Basch, M.","Segóbriga II. Inscripciones ibéricas, latinas paganas y latinas cristianas.","","","1984","446","Madrid","1984, 0542; 1984, 0592; 1984, 0594.","","","","Gräf","2004-12-06"
"B000028","J","Almagro Basch, M.","Augusta Emerita. Eine hispanische Provinzhauptstadt der römischen Kaiserzeit.","In: 150 Jahre DAI 1829-1979. Festveranstaltung und internationales Kolloquium, Berlin 1979.","","1981","143-162","Mainz","1983, 0486.","","","","Feraudi","2019-11-04"
"B000029","N","Alvar, J.","Un posible testimonio de culto a Cibeles en Cascais (Portugal).","AEA","56","1983","123-130","","1984, 0476; 1983, 0470.","","","","Feraudi","2004-12-02"
"B000030","N","Alvar, J.","Notas para la epigrafía del Noreste de Granada.","HAnt","9/10","1979/80","231-247","","1984, 0598; 1982, 0627; 1983, 0608; 1983, 0609; 1983, 0610.","","","","Hildebrandt","2004-08-17"
"B000031","N","Banti, L.","Regione 7 (Etruria). 2. Carrara. Ritrovamenti di epoca romana nelle lunensi.","NSA","","1932","429-431","","1985, 0391.","","","","Admin","2002-04-26"
"B000032","N","Alves Dias, M.M.","Inscrição funerária de Igrejinha (Conventus Pacensis).","FichEpigr","4","1982","3-5","","1982, 0459.","","","","Feraudi","2009-12-30"
"B000033","N","Alves Dias, M.M.","Estela funerária de Beja (Conventus Pacensis).","FichEpigr","4","1982","6-7","","1982, 0460.","","","","Feraudi","2009-12-30"
"B000034","N","Alves Dias, M.M.","Fragmento de cipo funerário achado em Mombeja, Beja.","FichEpigr","5","1983","14-15","","1983, 0467.","","","","Feraudi","2009-12-30"
"B000035","N","Alves Dias, M.M.","Epitáfio de um Olisiponense na area do concelho de Beja.","FichEpigr","5","1983","9-11","","1983, 0466.","","","","Feraudi","2009-12-30"
"B000036","N","Alves Dias, M.M.","A propósito da inscrição funerária de L. Marius Caprarius encontrada em Veiros, Estremoz.","AP","4","1983","323-336","","1983, 0469.","","","","Gräf","2002-07-10"
"B000037","N","Alves Dias, M.M.","Fragmento de cipo funerário achado em Baleizão.","FichEpigr","6","1983","5-6","","1983, 0468.","","","","Feraudi","2018-12-27"
"B000038","N","Alves Dias, M.M.","Arula votiva da Ericeira.","FichEpigr","5","1983","3-5","","1983, 0474.","","","","Feraudi","2018-12-27"
"B000039","N","Ambaglio, D.","CIL V 6435.","Epigraphica","41","1979","171-175","","1982, 0415.","","05, 06435.","","Hildebrandt","2004-09-14"
"B000040","N","D'Ambrosio, A.","Schede epigrafiche. 8. Puteoli.","Puteoli","6","1982","156-157","","1984, 0200.","","","","Gräf","2004-12-07"
"B000041","N","D'Ambrosio, A.","Schede epigrafiche. 2. Puteoli.","Puteoli","6","1982","145-146","","1984, 0196.","","","","Gräf","2004-12-07"
"B000042","N","D'Ambrosio, A.","Schede epigrafiche. 3. Puteoli.","Puteoli","6","1982","146-148","","1984, 0197.","","","","Gräf","2004-12-07"
"B000043","N","D'Ambrosio, A.","Schede epigrafiche. 4. Puteoli.","Puteoli","6","1982","148-150","","1984, 0198.","","","","Gräf","2004-12-07"
"B000044","N","D'Ambrosio, A.","Schede epigrafiche. 5. Puteoli.","Puteoli","6","1982","150-151","","1984, 0199.","","","","Gräf","2004-12-07"
"B000045","N","D'Ambrosio, A.","Schede epigrafiche. 9. Puteoli.","Puteoli","6","1982","158-159","","1984, 0201.","","","","Gräf","2004-12-07"
"B000046","N","Ameling, W.","Eine neue Inschrift aus Prusias ad Hypium.","EA","1","1983","63-74","","1983, 0908.","","","","Gräf","2011-04-19"
"B000047","J","Angeli Bertinelli, M.G.","I centurioni della ""legio II Traiana"".","In: Studi in onore di Arnaldo Biscardi","4","1983","143-199","Milano","1984, 0922.","","","","Gräf","2004-12-07"
"B000048","J","Angeli Bertinelli, M.G.","Ordo populusque Lunensium.","QuadStLun","8","1983","39-52","","1983, 0385.","","","","Admin","2002-04-26"
"B000049","N","Angeli Bertinelli, M.G.","Epigrafi inedite da Luni.","QuadStLun","6/7","1981/82","3-10","","1983, 0386; 1983, 0387; 1983, 0388; 1983, 0389; 1983, 0390; 1983, 0391.","","","","Feraudi","2018-07-12"
"B000050","N","Ankum, H.","Tabula Pompeiana 13. Ein Seefrachtvertrag oder ein Seedarlehen?","Iura","29","1978","156-173","","1984, 0227; 1971, 0092.","","","","Gräf","2004-12-09"
"B000051","N","Annibaldi, G.","Regio V (Abruzzi) - Contributi al CIL. Iscrizioni inedite nei musei di Corfinio e di Sulmona.","Epigraphica","20","1958","14-28","","1984, 0300.","","","","Hildebrandt","2004-08-17"
"B000052","N","Annibaldi, G.","Scavi e scoperte nel campo dell'archeologia cristiana in Ancona.","In: Atti del II Congresso Nazionale di Archeologia Cristiana, Matera 1969.","","1971","91-106","Roma","1982, 0253; 1982, 0254; 1982, 0255.","","","","Gräf","2011-06-14"
"B000053","J","Antico Gallina, M.","Testimonianze di vita municipale in Aquae Statiellae (Acqui Terme - Alessandria).","Sibrium","15","1980/81","139-149","","1983, 0421.","","","","Hildebrandt","2004-10-19"
"B000054","N","Applebaum, S. - Isaac, B. - Landau, Y.","Varia epigraphica.","SCI","4","1978","133-159","","1984, 0902; 1984, 0903; 1984, 0904; 1984, 0905; 1984, 0906; 1984, 0907; 1984, 0908; 1984, 0909; 1984, 0910.","","","","Grimmig","2004-10-13"
"B000055","N","Aquilué Abadías, J. - Mar Medina, R. - Nolla i Brufau, J.M.","El fòrum romà d'Empúries.","","","1984","500","Barcelona","1984, 0614; 1984, 0615.","","","IRC 3, 029; IRC 3, 045; IRC 5, p. 84; IRC 5, 85.","Gräf","2007-08-24"
"B000056","J","Arce, J.","The inscription of Troesmis (ILS 724) and the first victories of Constantius II as Caesar.","ZPE","48","1982","245-249","","1982, 0851.","","","","Feraudi","2020-01-03"
"B000057","J","Ardevan, R.","Praefectus quinquennalis pro imperatore.","ActaMusNapoca","18","1981","437-442","","1982, 0827.","","","","Admin","2002-04-26"
"B000058","J","Arnaldi, A.","Beatissimus nella titolatura imperiale del IV secolo.","Epigraphica","43","1981","165-174","","1982, 0012.","","","","Admin","2002-04-26"
"B000059","J","Arnaldi, A.","Le titolature della suprema carica sulle monete da Costantino a Teodosio I.","In: Studi in onore di Arnaldo Biscardi","2","1982","69-77","Milano","1982, 0013.","","","","Gräf","2004-12-07"
"B000060","J","Arrigoni Bertini, M.G.","Il problema dell'ascia sepolcrale e le epigrafi romane con l'ascia di Parma.","ArchStorPar","33","1981","243-289","","1982, 0366.","","","","Admin","2002-04-26"
"B000061","J","Arrigoni Bertini, M.G.","L'epigrafe di L. Mummio in Parma alla luce di tre inediti Borghesiani.","Aurea Parma","67","1983","123-131","","1983, 0419.","","","","Hildebrandt","2004-10-19"
"B000062","N","Atencia Páez, R.","De epigrafía nescaniense.","Baetica","5","1982","115-120","","1982, 0564.","","02, 02041; 02, 02042; 02, 02051; 02 (2. Aufl.) 05, 00850.","","Feraudi","2018-07-12"
"B000063","N","Aubin, G.","Circonscription des Pays de la Loire.","Gallia","41","1983","299-323","","1983, 0696; 1983, 0697; 1983, 0698; 1983, 0699; 1983, 0690.","","","","Feraudi","2018-07-12"
"B000064","N","Audin, A. - Reynaud, J.-F.","L'épitaphe d'un aquilifer.","BMusMonLyon","7","1982","65-70","","1982, 0711.","","","","Admin","2002-04-26"
"B000065","N","Audin, A.","Une inscription lyonnaise perdue (CIL XIII 1687).","In: Mélanges de littérature et d'épigraphie latines, d'histoire ancienne et d'archéologie. Hommage à la mémoire de Pierre Wuilleumier.","","1980","7-10","Paris","1983, 0694.","","","","Gräf","2008-07-24"
"B000066","N","Ausbüttel, F.M.","Untersuchungen zu den Vereinen im Westen des römischen Reiches.","","","1982","130 S.","Kallmünz","1983, 0013; 1983, 0735; 1983, 0181; 1983, 0731; 1983, 0768.","","03, 01981; 11, 00642*, 6.","ILLPRON 1450; ILLPRON 1451; ILLPRON 1452; ILLPRON 1453; ILLPRON 1454; ILLPRON 1455; ILLPRON 1456; ILLPRON 1457; ILLPRON 1458.","Gräf","2013-12-19"
"B000067","N","(o. Autor)","Selected Acquisitions 1981. Hellenistic, Roman and Byzantine Archaeology.","IsrMusJ","1","1982","93","","1984, 0915.","","","","Feraudi","2004-11-30"
"B000068","N","Filippi, G.","Recenti acquisizioni su abitati e luoghi di culto nell'ager aequiculanus.","QuadStAEtrIt","8","1984","165-177","","1984, 0274; 1984, 0275; 1984, 0276; 1984, 0277.","","","","Grimmig","2004-09-15"
"B000069","N","Avi-Yonah, M.","The Latin inscription from the excavations in Jerusalem.","In: B. Mazar - M. Avi-Yonah, The excavations in the old city of Jerusalem.","","1969","22-24","Jerusalem","1984, 0914; 1997, 1562.","","","","Gräf","2010-08-19"
"B000070","N","Avilia, F.","Schede epigrafiche. 11. Incertae originis. Campi Flegrei.","Puteoli","6","1982","160-161","","1984, 0192.","","","","Admin","2002-04-26"
"B000071","J","Baccini Leotardi, P.","Sui titoli Magna, Maior, Maius e simili con nomi di città.","In: MGR","8","1982","395-416","Roma","1982, 0024.","","","","Gräf","2004-07-02"
"B000072","N","Bailhache, G.","Compte de potier sur tuile romaine découverte à Thorame-Haute (Basses-Alpes).","RA","6","1935","102-104","","1983, 0648; 1935, 0144.","","","","Feraudi","2018-07-12"
"B000073","N","Bairam-Ben Osman, W. - Ennabli, L.","Note sur la topographie chrétienne de Carhgae: Les mosaïques du monastère de Bigua.","REAug","28","1982","3-18","","1982, 0928a; 1982, 0928b.","","","","Hildebrandt","2004-08-17"
"B000074","N","Bàlice, M.","Iscrizioni latine di Lucera.","ASP","34","1981","3-39","","1983, 0211; 1983, 0212; 1983, 0213; 1983, 0214; 1983, 0215; 1983, 0216; 1983, 0217; 1983, 0218; 1983, 0219; 1983, 0220; 1983, 0221; 1983, 0222; 1983, 0223; 1983, 0224; 1983, 0225; 1983, 0226; 1983, 0227; 1983, 0228; 1983, 0229; 1983, 0230; 1983, 0231; 1983, 0232; 1983, 0233; 1983, 0234; 1983, 0235; 1983, 0236; 1983, 0237; 1983, 0238; 1983, 0239; 1983, 0240; 1983, 0241; 1983, 0242; 1983, 0243; 1983, 0244; 1983, 0245; 1983, 0246; 1983, 0247; 1983, 0248; 1983, 0249; 1983, 0250; 1983, 0251; 1983, 0252; 1983, 0253; 1983, 0254.","","","","Imhoff","2004-10-13"
"B000075","N","Balla, L.","L'inscription d'un sanctuaire de Dolichenus à Alsókosály.","ACD","17/18","1981/82","195-197","","1982, 0835.","","03, 00828.","ILD 770.","Gräf","2007-10-17"
"B000076","J","Balland, A.","Un concours lycien au l'honneur de Domitien?","In: Mélanges de littérature et d'épigraphie latines, d'histoire ancienne et d'archéologie. Hommage à la mémoire de Pierre Wuilleumier.","","1980","11-15","Paris","1983, 0925.","","","CIG 4282.","Gräf","2012-02-10"
"B000077","N","Balty, J.","L'oracle d'Apamée.","AC","50","1981","5-14","","1983, 0673.","","12, 01277.","","Feraudi","2018-07-12"
"B000078","J","Balty, J.","Sur la date de création de la Syria Secunda.","Syria","57","1980","465-481","","1983, 0926.","","","","Admin","2002-04-26"
"B000079","N","Băluţă, C.L.","Fragmente deinscripţii descoperite la Apulum.","Apulum","21","1983","89-110","","1983, 0818; 1983, 0819; 1983, 0820.","","","","Gräf","2015-05-26"
"B000080","N","Băluţă, C.L. - Russu, I.I.","Inscripţii din Apulum.","Apulum","20","1982","117-133","","1983, 0804; 1983, 0804b; 1983, 0805; 1983, 0806; 1983, 0807; 1983, 0808; 1983, 0809; 1983, 0810; 1983, 0811; 1983, 0812; 1983, 0813; 1983, 0814.","","","IDR 3, 5, 503; IDR 3, 5, 520.","Gräf","2007-07-20"
"B000081","N","Bărbulescu, M. - Cătinaş, A.","Cultul lui Saturnus în Dacia.","Apulum","17","1979","215-223","","1984, 0739.","","","ILD 463.","Gräf","2011-04-21"
"B000082","N","Bărbulescu-Munteanu, M. - Rădulescu, A.","Descoperiri epigrafice recente. (Mit deutscher Zusammenfassung)","Pontica","14","1981","159-170","","1982, 0844; 1982, 0845; 1982, 0846; 1982, 0847.","","","","Gräf","2006-09-25"
"B000083","N","Bărbulescu-Munteanu, M. - Rădulescu, A.","Colonia Ulpia Sarmizegetusa pe o inscripţie de Dobrogea.","Pontica","15","1982","153-159","","1983, 0880.","","","","Gräf","2015-04-22"
"B000084","N","Gasperini, L.","Sacre.","In: G. Barbieri (Hrsg.), Il lapidario Zeri di Mentana.","","1982","17-55","Roma","1980, 0037; 1982, 0136; 1982, 0162; 1983, 0042; 1983, 0043; 1983, 0044.","","","","Gräf","2009-01-20"
"B000085","N","Gasperini, L.","Imperiali. Senatorie. Equestri. Ostiensi.","In: G. Barbieri (Hrsg.), Il lapidario Zeri di Mentana.","","1982","57-86","Roma","1983, 0045; 1983, 0046; 1983, 0047; 1982, 0133; 1982, 0134; 1982, 0137; 1982, 0146.","","06, 40647; 06, 41026.","IGUR 1533.","Gräf","2007-07-23"
"B000086","N","Barnea, A.","Contributions épigraphiques à l'histoire de la ville de Noviodunum.","Dacia","19","1975","255-261","","1977, 0760; 1977, 0761; 1977, 0762.","1980, 0841. 1984, 0793. 1987, 0897. 1989, 0639.","","IScM 5, 269; IScM 5, 270; IScM 5, 281.","Feraudi","2007-02-26"
"B000087","J","Barnes, T.D.","The new empire of Diocletian and Constantine.","","","1982","305","Cambridge (Mass.)","1984, 0006.","","","","Gräf","2004-10-06"
"B000088","N","Barocelli, P.","Iscrizioni romane della Liguria Occidentale inedite o poco note.","AAT","68","1932/33","34-63","","1933, 0032; 1984, 0419.","","","","Hildebrandt","2004-07-15"
"B000089","N","Barruol, G. - Gascou, J. - Bessac, J.-C.","Nouvelles inscriptions du Bas-Empire à Nîmes.","RAN","15","1982","273-309","","1982, 0680; 1982, 0681; 1982, 0682; 1982, 0683; 1982, 0684; 1982, 0685; 1982, 0686; 1982, 0687; 1982, 0688; 1982, 0689; 1982, 0690; 1982, 0691; 1978, 0466; 1978, 0467; 1978, 0468.","","","","Gräf","2008-07-25"
"B000090","N","Barruol, G.","Informations arqueologiques. Circonscription de Languedoc-Roussillon.","Gallia","33","1975","491-528","","1976, 0417; 1976, 0418; 1976, 0419; 1976, 0420; 1976, 0421; 1976, 0422.","","","","Feraudi","2018-07-12"
"B000091","N","Barruol, G. - Nickels, A.","Circonscription de Languedoc-Roussillon.","Gallia","41","1983","505-528","","1983, 0654.","","","","Feraudi","2018-07-12"
"B000092","N","Nagy, T.","Salariarius legionis - salariarius coloniae.","AArchHung","28","1976","79-91","","1976, 0541.","","03, 10439.","ILS 3741; TitAq 0267.","Feraudi","2015-02-13"
"B000093","J","Baslez, M.-F.","Délos durant la première guerre de Mithridate.","OpuscFin","2","1982","51-66","","1982, 0859.","","","","Grimmig","2004-09-15"
"B000094","N","Bataille, A.","Quelques graffites grecs de la Montagne thébaine.","BIAO","38","1939","141-179","","1982, 0915.","","","","Admin","2002-04-26"
"B000095","N","Bauchhenß, G.","Eine römische Skulpturengruppe aus der Germania inferior.","BJ","182","1982","225-239","","1983, 0725.","","","","Gräf","2005-02-02"
"B000096","J","Beaujeu, J.","A-t-il existé une direction des musées dans la Rome impériale?","CRAI","","1982","671-688","","1982, 0017.","","","","Gräf","2004-12-09"
"B000097","N","Bejaoui, F.","Pierre et Paul sur de nouveaux fragments de céramique africaine.","RAC","60","1984","45-62","","1984, 0935; 1984, 0936.","","","","Feraudi","2018-07-12"
"B000098","N","Beleza Moreira, J.","Uma lápide romana inédita de Porto Mós.","Conimbriga","21","1982","143-149","","1982, 0471.","","","","Feraudi","2018-07-12"
"B000099","N","Bellini, G.R.","Tre iscrizioni inedite del sepolcreto salario.","RAL","35","1980","19-25","","1980, 0106; 1980, 0107; 1980, 0108; 1983, 0089.","","","","Feraudi","2018-07-12"
"B000100","N","Beltrán Lloris, F. - Arasa Gil, F.","Los itinera privata en la epigrafía latina. Una nueva inscripción en Algimia de Almonacid (Castellón de la Plana).","HAnt","9/10","1979/80","7-29","","1984, 0606.","","","","Grimmig","2004-09-22"
"B000101","J","Benario, H.W.","Iuno coniugalis Sabina.","LCM","5","1980","37-39","","1984, 0818.","1939, 0190.","","","Hildebrandt","2004-10-19"
"B000102","J","Benea, D.","Din istoria militară a Moesiei superior şi a Daciei. Legiunea a VII-a Claudia şi legiunea a IIII-a Flavia.","","","1983","257","Cluj-Napoca","1983, 0792.","","","","Gräf","2015-04-22"
"B000103","N","Benseddik, N.","Un nouveau témoignage du culte de Tanit-Caelestis à Cherchel?","AntAfr","20","1984","175-181","","1984, 0942.","","","","Admin","2002-04-26"
"B000104","N","Benseddik, N.","Les Cimbriani à Sétif.","BCTH","17","1981","363-369","","1984, 0940.","","","","Admin","2002-04-26"
"B000105","J","Benabou, M.","Anomalies municipales en Afrique romaine?","Ktèma","6","1981","253-260","","1982, 0918.","","","","Gräf","2004-12-08"
"B000106","N","Beranger, E.M. - Fortini, P.","Schede epigrafiche.","Epigraphica","41","1979","141-145","","1982, 0145; 1982, 0256.","","","","Feraudi","2018-07-12"
"B000107","J","Bérard, F.","La carrière de Plotius Grypus et le ravitaillement de l'armée impériale en campagne.","MEFR","96","1984","259-324","","1984, 0015.","","","","Grimmig","2004-08-02"
"B000108","N","van Berchem, D.","Une inscription flavienne du Musée d'Antioche.","MH","40","1983","185-196","","1983, 0927.","","","","Gräf","2004-11-03"
"B000109","N","van Berchem, D. - Wiblé, F.","L'inscription du nymphée de Martigny.","AV","","1982","177-182","","1982, 0674; 1977, 0527.","","","","Gräf","2004-11-03"
"B000110","N","Bernand, A.","Les portes du désert. Recueil des inscriptions grecques d'Antinooupolis, Tentyris, Koptos, Apollonopolis Parva et Ap. Magna.","","","1984","348","Paris","1984, 0923; 1984, 0925.","","","","Gräf","2004-10-08"
"B000111","J","Bernand, É.","Épigraphie grecque et architecture égyptienne à l'époque imperiale.","In: H. Walter (Hrsg.), Hommage à Lucien Lerat.","","1984","73-89","Paris","1983, 0939.","","","","Gräf","2013-08-16"
"B000112","J","Bernand, É.","Inscriptions grecques d'Egypte et de Nubie. Répertoire bibliographique des OGIS.","","","1982","92","","1983, 0938.","","","","Gräf","2005-06-06"
"B000113","N","Bernardelli Calavalle, R.","Le iscrizioni romane del Museo Civico di Fano. In appendice le iscrizioni conservate in altri luoghi della città.","","","1983","230","Fano","1983, 0366; 1983, 0367; 1983, 0368; 1983, 0369; 1983, 0370; 1983, 0371; 1983, 0372; 1983, 0373; 1983, 0374; 1983, 0375; 1983, 0376; 1983, 0377; 1983, 0378; 1983, 0379; 1983, 0380.","","","","Gräf","2004-10-06"
"B000114","N","Bernon, A.","Trois objets découverts à Bourges-Lazenay.","CahBerry","69","1982","63-69","","1983, 0689.","","","","Feraudi","2018-07-12"
"B000115","N","Berti, F.","Voghenza (Ferrara): aggiornamento epigrafico.","Epigraphica","42","1980","172-180","","1984, 0394; 1984, 0395; 1984, 0396; 1984, 0397; 1984, 0398; 1984, 0399.","","","","Hildebrandt","2004-08-17"
"B000116","N","Bertocchi, F.","Iscrizioni recentemente scoperte a Canne.","In: Atti del Terzo Congresso Internazionale di Epigrafia Greca e Latina, Roma 1957.","","1959","199-205","Roma","1984, 0257; 1984, 0258; 1968, 0143; 1968, 0144; 1968, 0145; 1968, 0146; 1959, 0265; 1959, 0267.","","","","Feraudi","2019-12-30"
"B000117","J","Bertandy, F.","Thibilis (Announa), de Juba Ier au triumvir M. Aemilius Lepidus. Les premières étapes de la romanisation d'une cité numide.","Karthago","19","1980","87-106","","1982, 0952.","","","","Hildebrandt","2004-10-19"
"B000118","J","Beschaouch, A.","Une hypothèse sur les légats du proconsul d'Afrique sous le Haut-Empire.","Africa","7/8","1982","117-126","","1983, 0946; 1982, 0942.","","08, 00597.","","Hildebrandt","2004-08-17"
"B000119","N","Beschaouch, A.","Apisa minus. Une cité de constitution punique dans le pays de Carthage romaine.","Africa","7/8","1982","169-177","","1982, 0931.","","","","Feraudi","2018-07-12"
"B000120","N","Beschaouch, A.","Onomastique et archéologie.","Africa","7/8","1982","141-155","","1982, 0933.","","","ILAfr 491; ILTun 1289.","Hildebrandt","2004-11-11"
"B000121","N","Beschaouch, A.","Sur trois cités de l'Afrique chrétienne: Gunela, Aradi et Midica.","CRAI","","1983","683-693","","1983, 0951; 1983, 0952; 1983, 0980.","","","","Feraudi","2018-07-12"
"B000122","N","Bevilacqua, G.","Una dedica a Diana proveniente da Sezze.","ArchClass","32","1980","216-218","","1983, 0180.","","","","Feraudi","2018-07-12"
"B000123","N","Betz, A.","Das Weihedenkmal des Faustinianus.","CarnuntumJb","6","1960","29-35","","1966, 0286; 1968, 0422.","","","","Gräf","2015-04-17"
"B000124","N","Betz, A.","Nachtrag zum Weihdenkmal des Faustinianus.","CarnuntumJb","7","1961/62","86-87","","1966, 0286 1968, 0422; 1969/70, 0502.","","","","Feraudi","2015-09-01"
"B000125","N","Bilkei, I.","Schulunterricht und Bildungswesen in der römischen Provinz Pannonien.","Alba Regia","20","1983","67-73","","1983, 0771; 1983, 0772; 1983, 0752.","","","","Feraudi","2018-07-12"
